,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
76,Guymon,1,US,1566743241,83,36.68,-101.48,3816.9862016,3.6
77,East London,20,ZA,1566742817,77,-33.02,27.91,3572.0981888000015,8.7
78,Coquimbo,0,CL,1566742836,87,-29.95,-71.34,3143.5441664000004,5.1
79,Port Hardy,40,CA,1566742846,100,50.7,-127.42,3082.3221632000004,3.1
80,Puerto Ayora,20,EC,1566742818,73,-0.74,-90.35,3878.208204800001,6.7
81,Flinders,90,AU,1566742896,81,-34.58,150.85,3259.2537524480003,3.1
82,Sechura,0,PE,1566743242,88,-5.56,-80.82,3428.2264812799995,3.98
83,Bluff,4,AU,1566742817,85,-23.58,149.07,3275.1714732800006,1.56
84,Boende,100,CD,1566743242,74,-0.28,20.88,3991.46891072,1.92
85,Nikolskoye,40,RU,1566742812,56,59.7,30.79,3667.604513792001,2.0
86,Zhob,33,PK,1566743243,22,31.34,69.45,4071.0575148800003,7.64
87,Cabo San Lucas,75,MX,1566742573,78,22.89,-109.91,4109.627376896,2.6
88,Mar del Plata,0,AR,1566742869,50,-46.43,-67.52,2920.08385472,5.69
89,Puerto El Triunfo,20,SV,1566743244,88,13.27,-88.55,4245.540224,1.0
90,Richards Bay,0,ZA,1566743244,71,-28.77,32.06,3826.1695020800007,1.69
91,Coihaique,20,CL,1566743244,75,-45.58,-72.07,2714.990144,2.1
92,Qaanaaq,100,GL,1566742823,85,77.48,-69.36,2503.7742329600005,4.93
93,Seaca,35,RO,1566743244,26,44.15,24.76,4499.611537280001,5.97
94,Busselton,0,AU,1566742808,51,-33.64,115.35,2986.8158382080005,7.29
95,Ahipara,90,NZ,1566742828,100,-35.17,173.16,3123.340905344001,10.15
96,Kuito,0,AO,1566743245,57,-12.38,16.94,3878.208204800001,2.83
97,Pedernales,82,EC,1566743245,87,0.07,-80.05,3783.3140998400004,6.82
98,Nampula,20,MZ,1566743246,45,-15.12,39.26,4184.3182208,5.1
99,Svetlogorsk,40,RU,1566742861,47,53.14,59.15,3939.4302080000007,5.0
100,Betsiamites,1,CA,1566743246,67,48.94,-68.65,3449.654182400001,4.6
101,Lagoa,0,PT,1566742834,57,37.14,-8.45,4143.299478656001,3.1
102,Matamoros,75,US,1566743247,79,25.87,-97.51,4313.496647552001,4.6
103,Uvira,8,CD,1566742874,67,-3.41,29.14,3373.1266784000004,2.68
104,Airai,48,TL,1566742816,80,-8.93,125.41,3556.792688000001,2.08
105,Okato,17,NZ,1566743247,88,-39.19,173.88,3055.3844817920003,4.92
106,Axim,100,GH,1566742837,83,4.87,-2.24,3954.735708800001,5.65
107,Kosh-Agach,0,RU,1566743247,53,49.99,88.66,2987.42805824,2.77
108,Goldsboro,90,US,1566743029,88,35.38,-77.99,3769.2330391040005,4.6
109,Husavik,97,CA,1566743122,84,50.56,-96.99,3429.4509213440006,2.68
110,Mecca,0,SA,1566742953,22,21.43,39.83,4664.910945920001,8.13
111,Ilulissat,5,GL,1566742738,48,69.22,-51.1,2776.2121472000003,3.1
